Title,Author,Runtime,Price,Language,Release Date,Rating
Sweet View Ranch Cowboy Romance Box Set,Jessie Gussman,44 hrs and 36 mins,$29.95,English,04-18-25,Not rated yet
Magical Girl Crystal Genocide,RavensDagger,12 hrs and 14 mins,$24.95,English,04-14-25,5
Sherlock Holmes: The Definitive Collection,"Arthur Conan Doyle, Stephen Fry - introductions",71 hrs and 57 mins,$63.90,English,02-27-17,5
The Ghost Line,Scott Blade,13 hrs and 40 mins,$24.95,English,04-14-25,5
Nightshade,Michael Connelly,11 hrs and 30 mins,$21.83,English,05-20-25,Not rated yet
The Missing Half,"Ashley Flowers, Alex Kiester - contributor",8 hrs and 11 mins,$20.25,English,05-06-25,Not rated yet
The Monk,Matthew Gregory Lewis,15 hrs and 24 mins,$24.95,English,02-18-25,Not rated yet
Royal Scoundrel,Saxon James,3 hrs and 12 mins,$14.95,English,04-16-25,5
The Bridal Wreath,Sigrid Undset,11 hrs and 44 mins,$24.95,English,02-24-25,Not rated yet
Things I'm Avoiding Doing,Michael Neill,1 hr and 10 mins,$6.95,English,04-17-25,Not rated yet
"Chance, Annotated",Joseph Conrad,16 hrs and 54 mins,$24.95,English,12-31-24,Not rated yet
Farsight: Blade of Truth,Phil Kelly,13 hrs and 13 mins,$32.71,English,04-12-25,5
The Honeymoon,Jane E. James,7 hrs and 45 mins,$16.35,English,03-27-25,4.5
Kiss the Villain,Rina Kent,14 hrs and 26 mins,$24.95,English,03-20-25,5
The Crown of Gilded Bones (Part 1 of 2) (Dramatized Adaptation),Jennifer L. Armentrout,9 hrs,$20.00,English,05-16-25,Not rated yet
Sin with Me,Brooke Montgomery,9 hrs and 11 mins,$19.95,English,04-14-25,5
New Freedoms,Shawn Wilson,11 hrs and 29 mins,$33.90,English,04-22-25,Not rated yet
"How to Stop Being Negative, Angry, and Mean",Robert J. Manson,11 hrs and 4 mins,$24.95,English,04-08-25,5
The Tenant,Freida McFadden,8 hrs and 50 mins,$27.52,English,05-06-25,Not rated yet
Outlander,Diana Gabaldon,21 hrs and 20 mins,$38.00,English,04-29-25,Not rated yet
Always Salty,Lani Lynn Vale,6 hrs and 1 min,$19.95,English,04-04-25,5
Spring Enchantment Welcoming Renewal and Growth,Arthur Mark,3 hrs and 5 mins,$14.95,English,04-14-25,Not rated yet
Keto Kickstart Beginner-Friendly Recipes for a Healthy Lifestyle,Matthew Jackson,2 hrs and 38 mins,$6.95,English,12-13-24,Not rated yet
Phantasma,"Kaylie Smith, Diana Bürgel - Übersetzer, Julian Müller - Übersetzer",14 hrs and 4 mins,$24.64,German,04-16-25,Not rated yet
The Sexual Addicts Recovery Project 2 in 1 Value Collection,David Whitehead,5 hrs and 17 mins,$19.95,English,09-23-21,4.5
The Business Trip,Jessie Garcia,9 hrs and 7 mins,$14.99,English,01-14-25,4
911 Remembrance,"Michael Harbut, Michael Anderson",3 mins,$5.99,English,04-10-25,Not rated yet
The Gate of the Feral Gods,Matt Dinniman,18 hrs and 3 mins,$29.95,English,09-16-21,5
Diana of the Crossways (Complete Edition),George Meredith,16 hrs and 26 mins,$24.95,English,01-02-25,Not rated yet
The Crash,Freida McFadden,9 hrs and 13 mins,$27.45,English,01-28-25,4.5
The End of the World as We Know It,"Christopher Golden - contributor, Brian Keene - contributor, Stephen King - introduction",26 hrs and 30 mins,$29.99,English,08-19-25,Not rated yet
Shadow of the Solstice,Anne Hillerman,9 hrs and 40 mins,$25.19,English,04-22-25,Not rated yet
Galactic Patrol,E.E. Smith,8 hrs and 35 mins,$19.95,English,10-11-24,Not rated yet
High Sticking the Heart,Marie M.,9 hrs and 27 mins,$19.95,English,04-16-25,Not rated yet
Three to Fall,Elle Thorpe,10 hrs and 28 mins,$24.95,English,04-10-25,5
Shadow's Hoax,"Mary Stone, Lori Rhodes",6 hrs and 16 mins,$19.95,English,04-16-25,5
A History of the Papacy from the Great Schism to the Sack of Rome,Mandell Creighton,13 hrs and 39 mins,$24.95,English,10-11-24,Not rated yet
Champions Never Quit,Jacob Smith,3 hrs and 46 mins,$14.95,English,04-10-25,Not rated yet
The Things We Leave Unfinished,Rebecca Yarros,14 hrs and 32 mins,$21.49,English,02-23-21,4.5
The Lost Reclaimed,Tom Elliot,22 hrs and 6 mins,$61.25,English,04-09-25,5
Haunting Adeline,H. D. Carlton,15 hrs and 49 mins,$24.95,English,08-29-22,4.5
Unlock Your Success Code,Jacob Smith,3 hrs and 23 mins,$14.95,English,03-26-25,Not rated yet
"Apocalypse: Regression, Book 6","R.A. Mejia, Charles Dean",9 hrs and 19 mins,$19.95,English,04-10-25,4.5
Free Yourself from the Grip of Alcohol Addiction,Yvonne L.M. Cross,3 hrs and 48 mins,$14.95,English,08-27-24,5
Wicked Love,Willow Aster,8 hrs and 53 mins,$19.95,English,04-10-25,5
Age of Expansion,Jez Cajiao,23 hrs and 52 mins,$24.49,English,04-15-25,5
The Way We Collide,Tia Louise,9 hrs and 28 mins,$19.95,English,04-10-25,5
"Men of Inked Heatwave, Volume 2",Chelle Bliss,22 hrs and 9 mins,$29.95,English,04-16-25,Not rated yet
A Soul to Touch,Opal Reyne,18 hrs and 20 mins,$24.95,English,03-24-25,5
Throne of Glass (Dramatized Adaptation),Sarah J. Maas,11 hrs,$21.65,English,08-25-25,Not rated yet
The Black Wolf,Louise Penny,12 hrs and 51 mins,$20.24,English,10-28-25,Not rated yet
Fight,Sloane St. James,9 hrs and 50 mins,$19.95,English,03-28-25,4.5
Mark Twain,Ron Chernow,48 hrs,$36.00,English,05-13-25,Not rated yet
The Coming Dark 2,D.J. Molles,14 hrs and 1 min,$24.95,English,04-15-25,5
Unbreak Me,Jesse H Reign,10 hrs and 1 min,$24.95,English,04-16-25,4.5
Feral: MMMF,Mila Crawford,4 hrs and 39 mins,$14.95,English,04-01-25,4.5
Dungeon Noble: Squire,J. Parsons,16 hrs and 47 mins,$54.99,English,04-16-25,5
Road to Mastery 6,Valerios,22 hrs and 41 mins,$29.95,English,04-15-25,5
